obs_id,obsname,starttime_utc,stoptime_utc,projectid,calibration,calibrators,deleted_flag
1081993696,Sun,2014-04-20T01:48:00.000Z,2014-04-20T01:52:00.000Z,G0002,False,,False
1081993936,Sun,2014-04-20T01:52:00.000Z,2014-04-20T01:56:00.000Z,G0002,False,,False
1081994176,Sun,2014-04-20T01:56:00.000Z,2014-04-20T02:00:00.000Z,G0002,False,,False
1081998016,Sun,2014-04-20T03:00:00.000Z,2014-04-20T03:04:00.000Z,G0002,False,,False
1081998256,Sun,2014-04-20T03:04:00.000Z,2014-04-20T03:08:00.000Z,G0002,False,,False
1081998496,Sun,2014-04-20T03:08:00.000Z,2014-04-20T03:12:00.000Z,G0002,False,,False
1081998736,Sun,2014-04-20T03:12:00.000Z,2014-04-20T03:16:00.000Z,G0002,False,,False
1081998976,Sun,2014-04-20T03:16:00.000Z,2014-04-20T03:20:00.000Z,G0002,False,,False
1081999216,Sun,2014-04-20T03:20:00.000Z,2014-04-20T03:24:00.000Z,G0002,False,,False
1081999456,Sun,2014-04-20T03:24:00.000Z,2014-04-20T03:28:00.000Z,G0002,False,,False
1081999696,Sun,2014-04-20T03:28:00.000Z,2014-04-20T03:32:00.000Z,G0002,False,,False
1081999936,Sun,2014-04-20T03:32:00.000Z,2014-04-20T03:36:00.000Z,G0002,False,,False
1082000176,Sun,2014-04-20T03:36:00.000Z,2014-04-20T03:40:00.000Z,G0002,False,,False
1082000416,Sun,2014-04-20T03:40:00.000Z,2014-04-20T03:44:00.000Z,G0002,False,,False
1082000656,Sun,2014-04-20T03:44:00.000Z,2014-04-20T03:48:00.000Z,G0002,False,,False
1082000896,Sun,2014-04-20T03:48:00.000Z,2014-04-20T03:52:00.000Z,G0002,False,,False
1082001136,Sun,2014-04-20T03:52:00.000Z,2014-04-20T03:56:00.000Z,G0002,False,,False
1082001376,Sun,2014-04-20T03:56:00.000Z,2014-04-20T04:00:00.000Z,G0002,False,,False
1082008816,Sun,2014-04-20T06:00:00.000Z,2014-04-20T06:04:00.000Z,G0002,False,,False
1082009056,Sun,2014-04-20T06:04:00.000Z,2014-04-20T06:08:00.000Z,G0002,False,,False
1082009296,Sun,2014-04-20T06:08:00.000Z,2014-04-20T06:12:00.000Z,G0002,False,,False
1082009536,Sun,2014-04-20T06:12:00.000Z,2014-04-20T06:16:00.000Z,G0002,False,,False
1082009776,Sun,2014-04-20T06:16:00.000Z,2014-04-20T06:20:00.000Z,G0002,False,,False
1082010016,Sun,2014-04-20T06:20:00.000Z,2014-04-20T06:24:00.000Z,G0002,False,,False
1082010256,Sun,2014-04-20T06:24:00.000Z,2014-04-20T06:28:00.000Z,G0002,False,,False
1082010496,Sun,2014-04-20T06:28:00.000Z,2014-04-20T06:32:00.000Z,G0002,False,,False
1082010736,Sun,2014-04-20T06:32:00.000Z,2014-04-20T06:36:00.000Z,G0002,False,,False
1082010976,Sun,2014-04-20T06:36:00.000Z,2014-04-20T06:40:00.000Z,G0002,False,,False
1082011216,Sun,2014-04-20T06:40:00.000Z,2014-04-20T06:44:00.000Z,G0002,False,,False
1082011456,Sun,2014-04-20T06:44:00.000Z,2014-04-20T06:48:00.000Z,G0002,False,,False
1082011696,Sun,2014-04-20T06:48:00.000Z,2014-04-20T06:52:00.000Z,G0002,False,,False
1082011936,Sun,2014-04-20T06:52:00.000Z,2014-04-20T06:56:00.000Z,G0002,False,,False
1082012176,Sun,2014-04-20T06:56:00.000Z,2014-04-20T07:00:00.000Z,G0002,False,,False
1082077456,Sun,2014-04-21T01:04:00.000Z,2014-04-21T01:08:00.000Z,G0002,False,,False
1082077696,Sun,2014-04-21T01:08:00.000Z,2014-04-21T01:12:00.000Z,G0002,False,,False
1082077936,Sun,2014-04-21T01:12:00.000Z,2014-04-21T01:16:00.000Z,G0002,False,,False
1082078176,Sun,2014-04-21T01:16:00.000Z,2014-04-21T01:20:00.000Z,G0002,False,,False
1082078416,Sun,2014-04-21T01:20:00.000Z,2014-04-21T01:24:00.000Z,G0002,False,,False
1082078656,Sun,2014-04-21T01:24:00.000Z,2014-04-21T01:28:00.000Z,G0002,False,,False
1082078896,Sun,2014-04-21T01:28:00.000Z,2014-04-21T01:32:00.000Z,G0002,False,,False
1082079136,Sun,2014-04-21T01:32:00.000Z,2014-04-21T01:36:00.000Z,G0002,False,,False
1082079376,Sun,2014-04-21T01:36:00.000Z,2014-04-21T01:40:00.000Z,G0002,False,,False
1082079616,Sun,2014-04-21T01:40:00.000Z,2014-04-21T01:44:00.000Z,G0002,False,,False
1082079856,Sun,2014-04-21T01:44:00.000Z,2014-04-21T01:48:00.000Z,G0002,False,,False
1082080096,Sun,2014-04-21T01:48:00.000Z,2014-04-21T01:52:00.000Z,G0002,False,,False
1082080336,Sun,2014-04-21T01:52:00.000Z,2014-04-21T01:56:00.000Z,G0002,False,,False
1082080576,Sun,2014-04-21T01:56:00.000Z,2014-04-21T02:00:00.000Z,G0002,False,,False
1082084416,Sun,2014-04-21T03:00:00.000Z,2014-04-21T03:04:00.000Z,G0002,False,,False
1082084656,Sun,2014-04-21T03:04:00.000Z,2014-04-21T03:08:00.000Z,G0002,False,,False
1082084896,Sun,2014-04-21T03:08:00.000Z,2014-04-21T03:12:00.000Z,G0002,False,,False
1082085136,Sun,2014-04-21T03:12:00.000Z,2014-04-21T03:16:00.000Z,G0002,False,,False
1082085376,Sun,2014-04-21T03:16:00.000Z,2014-04-21T03:20:00.000Z,G0002,False,,False
1082085616,Sun,2014-04-21T03:20:00.000Z,2014-04-21T03:24:00.000Z,G0002,False,,False
1082085856,Sun,2014-04-21T03:24:00.000Z,2014-04-21T03:28:00.000Z,G0002,False,,False
1082086096,Sun,2014-04-21T03:28:00.000Z,2014-04-21T03:32:00.000Z,G0002,False,,False
1082086336,Sun,2014-04-21T03:32:00.000Z,2014-04-21T03:36:00.000Z,G0002,False,,False
1082086576,Sun,2014-04-21T03:36:00.000Z,2014-04-21T03:40:00.000Z,G0002,False,,False
1082086816,Sun,2014-04-21T03:40:00.000Z,2014-04-21T03:44:00.000Z,G0002,False,,False
1082087056,Sun,2014-04-21T03:44:00.000Z,2014-04-21T03:48:00.000Z,G0002,False,,False
1082087296,Sun,2014-04-21T03:48:00.000Z,2014-04-21T03:52:00.000Z,G0002,False,,False
1082087536,Sun,2014-04-21T03:52:00.000Z,2014-04-21T03:56:00.000Z,G0002,False,,False
1082087776,Sun,2014-04-21T03:56:00.000Z,2014-04-21T04:00:00.000Z,G0002,False,,False
1082095216,Sun,2014-04-21T06:00:00.000Z,2014-04-21T06:04:00.000Z,G0002,False,,False
1082095456,Sun,2014-04-21T06:04:00.000Z,2014-04-21T06:08:00.000Z,G0002,False,,False
1082095696,Sun,2014-04-21T06:08:00.000Z,2014-04-21T06:12:00.000Z,G0002,False,,False
1082095936,Sun,2014-04-21T06:12:00.000Z,2014-04-21T06:16:00.000Z,G0002,False,,False
1082096176,Sun,2014-04-21T06:16:00.000Z,2014-04-21T06:20:00.000Z,G0002,False,,False
1082096416,Sun,2014-04-21T06:20:00.000Z,2014-04-21T06:24:00.000Z,G0002,False,,False
1082096656,Sun,2014-04-21T06:24:00.000Z,2014-04-21T06:28:00.000Z,G0002,False,,False
1082096896,Sun,2014-04-21T06:28:00.000Z,2014-04-21T06:32:00.000Z,G0002,False,,False
1082097136,Sun,2014-04-21T06:32:00.000Z,2014-04-21T06:36:00.000Z,G0002,False,,False
1082097376,Sun,2014-04-21T06:36:00.000Z,2014-04-21T06:40:00.000Z,G0002,False,,False
1082097616,Sun,2014-04-21T06:40:00.000Z,2014-04-21T06:44:00.000Z,G0002,False,,False
1082097856,Sun,2014-04-21T06:44:00.000Z,2014-04-21T06:48:00.000Z,G0002,False,,False
1082098096,Sun,2014-04-21T06:48:00.000Z,2014-04-21T06:52:00.000Z,G0002,False,,False
1082098336,Sun,2014-04-21T06:52:00.000Z,2014-04-21T06:56:00.000Z,G0002,False,,False
1082098576,Sun,2014-04-21T06:56:00.000Z,2014-04-21T07:00:00.000Z,G0002,False,,False
1082786536,Sun,2014-04-29T06:02:00.000Z,2014-04-29T06:06:00.000Z,G0002,False,,False
1082786776,Sun,2014-04-29T06:06:00.000Z,2014-04-29T06:10:00.000Z,G0002,False,,False
1082787016,Sun,2014-04-29T06:10:00.000Z,2014-04-29T06:14:00.000Z,G0002,False,,False
1082787256,Sun,2014-04-29T06:14:00.000Z,2014-04-29T06:18:00.000Z,G0002,False,,False
1082787496,Sun,2014-04-29T06:18:00.000Z,2014-04-29T06:22:00.000Z,G0002,False,,False
1082787736,Sun,2014-04-29T06:22:00.000Z,2014-04-29T06:26:00.000Z,G0002,False,,False
1082787976,Sun,2014-04-29T06:26:00.000Z,2014-04-29T06:30:00.000Z,G0002,False,,False
1082788216,Sun,2014-04-29T06:30:00.000Z,2014-04-29T06:34:00.000Z,G0002,False,,False
1082788456,Sun,2014-04-29T06:34:00.000Z,2014-04-29T06:38:00.000Z,G0002,False,,False
1082788696,Sun,2014-04-29T06:38:00.000Z,2014-04-29T06:42:00.000Z,G0002,False,,False
1082788936,Sun,2014-04-29T06:42:00.000Z,2014-04-29T06:46:00.000Z,G0002,False,,False
1082789176,Sun,2014-04-29T06:46:00.000Z,2014-04-29T06:50:00.000Z,G0002,False,,False
1082789416,Sun,2014-04-29T06:50:00.000Z,2014-04-29T06:54:00.000Z,G0002,False,,False
1082789656,Sun,2014-04-29T06:54:00.000Z,2014-04-29T06:58:00.000Z,G0002,False,,False
1082789896,Sun,2014-04-29T06:58:00.000Z,2014-04-29T07:02:00.000Z,G0002,False,,False
1083200416,Sun,2014-05-04T01:00:00.000Z,2014-05-04T01:04:00.000Z,G0002,False,,False
1083200656,Sun,2014-05-04T01:04:00.000Z,2014-05-04T01:08:00.000Z,G0002,False,,False
1083200896,Sun,2014-05-04T01:08:00.000Z,2014-05-04T01:12:00.000Z,G0002,False,,False
1083201136,Sun,2014-05-04T01:12:00.000Z,2014-05-04T01:16:00.000Z,G0002,False,,False
